var1.pred,long,lat
0,-122.51144,37.7121
0.003560839,-122.509,37.7121
0.007097308,-122.50656,37.7121
0.010577576,-122.50412,37.7121
0.013971539,-122.50168,37.7121
0.017255239,-122.49924,37.7121
0.020417219,-122.4968,37.7121
0.023466588,-122.49436,37.7121
0.026441469,-122.49192,37.7121
0.029414867,-122.48948,37.7121
0.032493595,-122.48704,37.7121
0.035806727,-122.4846,37.7121
0.03948535,-122.48216,37.7121
0.043645985,-122.47972,37.7121
0.048396148,-122.47728,37.7121
0.053843699,-122.47484,37.7121
0.0600588,-122.4724,37.7121
0.067519614,-122.46996,37.7121
0.079119683,-122.46752,37.7121
0.093831863,-122.46508,37.7121
0.108752221,-122.46264,37.7121
0.123298942,-122.4602,37.7121
0.137377093,-122.45776,37.7121
0.151034803,-122.45532,37.7121
0.164400546,-122.45288,37.7121
0.177673207,-122.45044,37.7121
0.191155817,-122.448,37.7121
0.2053071,-122.44556,37.7121
0.220296289,-122.44312,37.7121
0.234249513,-122.44068,37.7121
0.247147346,-122.43824,37.7121
0.260464738,-122.4358,37.7121
0.27381817,-122.43336,37.7121
0.286653952,-122.43092,37.7121
0.298605193,-122.42848,37.7121
0.309430637,-122.42604,37.7121
0.318951123,-122.4236,37.7121
0.327011515,-122.42116,37.7121
0.333463673,-122.41872,37.7121
0.338164532,-122.41628,37.7121
0.340985889,-122.41384,37.7121
0.341836803,-122.4114,37.7121
0.34070179,-122.40896,37.7121
0.337693241,-122.40652,37.7121
0.333101639,-122.40408,37.7121
0.327409782,-122.40164,37.7121
0.321239969,-122.3992,37.7121
0.315239772,-122.39676,37.7121
0.309953185,-122.39432,37.7121
0.305725856,-122.39188,37.7121
0.302668169,-122.38944,37.7121
0.300685242,-122.387,37.7121
0.299561643,-122.38456,37.7121
0.003491798,-122.51144,37.714
0.007289434,-122.509,37.714
0.011062984,-122.50656,37.714
0.014772641,-122.50412,37.714
0.018378075,-122.50168,37.714
0.021843151,-122.49924,37.714
0.025143538,-122.4968,37.714
0.028277589,-122.49436,37.714
0.031279411,-122.49192,37.714
0.034230271,-122.48948,37.714
0.037261091,-122.48704,37.714
0.040537676,-122.4846,37.714
0.044226352,-122.48216,37.714
0.048456883,-122.47972,37.714
0.053332705,-122.47728,37.714
0.0590111,-122.47484,37.714
0.065486167,-122.4724,37.714
0.072259657,-122.46996,37.714
0.084952056,-122.46752,37.714
0.101133965,-122.46508,37.714
0.116684778,-122.46264,37.714
0.131538066,-122.4602,37.714
0.14571619,-122.45776,37.714
0.159322125,-122.45532,37.714
0.172514892,-122.45288,37.714
0.185496884,-122.45044,37.714
0.198561457,-122.448,37.714
0.212329231,-122.44556,37.714
0.228415702,-122.44312,37.714
0.242777477,-122.44068,37.714
0.255799206,-122.43824,37.714
0.27039821,-122.4358,37.714
0.284963814,-122.43336,37.714
0.298807373,-122.43092,37.714
0.311589613,-122.42848,37.714
0.323109554,-122.42604,37.714
0.333215032,-122.4236,37.714
0.341758107,-122.42116,37.714
0.348578842,-122.41872,37.714
0.353505376,-122.41628,37.714
0.356364066,-122.41384,37.714
0.357002822,-122.4114,37.714
0.355338085,-122.40896,37.714
0.351433156,-122.40652,37.714
0.34559101,-122.40408,37.714
0.338402789,-122.40164,37.714
0.330682106,-122.3992,37.714
0.323286286,-122.39676,37.714
0.316918978,-122.39432,37.714
0.31199905,-122.39188,37.714
