var1.pred,long,lat
0.044437417,-74.1731,40.56348
0.041338252,-74.164,40.56348
0.042226139,-74.1549,40.56348
0.04487762,-74.1458,40.56348
0.048974711,-74.1367,40.56348
0.055515333,-74.1276,40.56348
0.065128595,-74.1185,40.56348
0.070555147,-74.1094,40.56348
0.056608067,-74.1003,40.56348
0.047221594,-74.0912,40.56348
0.056120177,-74.0821,40.56348
0.083112698,-74.073,40.56348
0.120438531,-74.0639,40.56348
0.161542669,-74.0548,40.56348
0.202390007,-74.0457,40.56348
0.240830331,-74.0366,40.56348
0.276091318,-74.0275,40.56348
0.308827835,-74.0184,40.56348
0.339850972,-74.0093,40.56348
0.369713135,-74.0002,40.56348
0.398583706,-73.9911,40.56348
0.426064911,-73.982,40.56348
0.451046927,-73.9729,40.56348
0.47182812,-73.9638,40.56348
0.486357365,-73.9547,40.56348
0.492314305,-73.9456,40.56348
0.487787477,-73.9365,40.56348
0.473138244,-73.9274,40.56348
0.451487243,-73.9183,40.56348
0.426654353,-73.9092,40.56348
0.401542971,-73.9001,40.56348
0.377952755,-73.891,40.56348
0.35689054,-73.8819,40.56348
0.338857414,-73.8728,40.56348
0.324024188,-73.8637,40.56348
0.312327909,-73.8546,40.56348
0.303532413,-73.8455,40.56348
0.297279014,-73.8364,40.56348
0.293135485,-73.8273,40.56348
0.290641362,-73.8182,40.56348
0.289345288,-73.8091,40.56348
0.288832196,-73.8,40.56348
0.288747173,-73.7909,40.56348
0.289094877,-73.7818,40.56348
0.289818585,-73.7727,40.56348
0.290763009,-73.7636,40.56348
0.291829946,-73.7545,40.56348
0.292966882,-73.7454,40.56348
0.294153131,-73.7363,40.56348
0.294712138,-73.7272,40.56348
0.294145245,-73.7181,40.56348
0.293078644,-73.709,40.56348
0.293538467,-73.6999,40.56348
0.040729749,-74.1731,40.57
0.038200186,-74.164,40.57
0.039552372,-74.1549,40.57
0.042435685,-74.1458,40.57
0.046802576,-74.1367,40.57
0.053893202,-74.1276,40.57
0.063990543,-74.1185,40.57
0.078538817,-74.1094,40.57
0.047618335,-74.1003,40.57
0.032429968,-74.0912,40.57
0.041052904,-74.0821,40.57
0.074154979,-74.073,40.57
0.118567731,-74.0639,40.57
0.164852822,-74.0548,40.57
0.20895131,-74.0457,40.57
0.249198124,-74.0366,40.57
0.285325848,-74.0275,40.57
0.318612432,-74.0184,40.57
0.349971454,-74.0093,40.57
0.380283368,-74.0002,40.57
0.410105305,-73.9911,40.57
0.439202787,-73.982,40.57
0.466299158,-73.9729,40.57
0.48929111,-73.9638,40.57
0.505801691,-73.9547,40.57
0.512751285,-73.9456,40.57
0.506519651,-73.9365,40.57
0.487097282,-73.9274,40.57
0.459688653,-73.9183,40.57
0.429777044,-73.9092,40.57
0.400718811,-73.9001,40.57
0.374250793,-73.891,40.57
0.351209273,-73.8819,40.57
0.33194196,-73.8728,40.57
0.316497459,-73.8637,40.57
0.304704831,-73.8546,40.57
0.296220058,-73.8455,40.57
0.2905744,-73.8364,40.57
0.287229377,-73.8273,40.57
0.285629881,-73.8182,40.57
0.285246736,-73.8091,40.57
0.285605505,-73.8,40.57
0.286306493,-73.7909,40.57
0.287313384,-73.7818,40.57
0.288577675,-73.7727,40.57
0.289946193,-73.7636,40.57
0.291333232,-73.7545,40.57
0.2927054,-73.7454,40.57
0.294063515,-73.7363,40.57
0.294755244,-73.7272,40.57
0.294289373,-73.7181,40.57
0.293236974,-73.709,40.57
0.293264448,-73.6999,40.57
0.038831255,-74.1731,40.57652
0.036198413,-74.164,40.57652
0.037610252,-74.1549,40.57652
0.040925056,-74.1458,40.57652
0.045688081,-74.1367,40.57652
0.051946186,-74.1276,40.57652
0.057927225,-74.1185,40.57652
0.054820099,-74.1094,40.57652
0.033741799,-74.1003,40.57652
0.014190973,-74.0912,40.57652
0.022775829,-74.0821,40.57652
0.067646705,-74.073,40.57652
0.120800454,-74.0639,40.57652
0.172103042,-74.0548,40.57652
0.218928277,-74.0457,40.57652
0.260447317,-74.0366,40.57652
0.297236716,-74.0275,40.57652
0.330471239,-74.0184,40.57652
0.36133442,-74.0093,40.57652
0.391353729,-74.0002,40.57652
0.42163353,-73.9911,40.57652
0.452192366,-73.982,40.57652
0.48153794,-73.9729,40.57652
0.506850097,-73.9638,40.57652
0.525723017,-73.9547,40.57652
0.534771051,-73.9456,40.57652
0.526915465,-73.9365,40.57652
0.500742193,-73.9274,40.57652
0.466105885,-73.9183,40.57652
0.430602464,-73.9092,40.57652
0.397566358,-73.9001,40.57652
0.368371822,-73.891,40.57652
0.343556163,-73.8819,40.57652
0.323276361,-73.8728,40.57652
0.307457241,-73.8637,40.57652
0.295821778,-73.8546,40.57652
0.287911603,-73.8455,40.57652
0.283134209,-73.8364,40.57652
0.280829866,-73.8273,40.57652
0.280337377,-73.8182,40.57652
0.28104345,-73.8091,40.57652
0.28241223,-73.8,40.57652
0.284001305,-73.7909,40.57652
0.285738393,-73.7818,40.57652
0.287582481,-73.7727,40.57652
0.289388077,-73.7636,40.57652
0.291089326,-73.7545,40.57652
0.292680121,-73.7454,40.57652
0.294189946,-73.7363,40.57652
0.29498162,-73.7272,40.57652
0.294592066,-73.7181,40.57652
0.293567873,-73.709,40.57652
0.293589177,-73.6999,40.57652
0.039124374,-74.1731,40.58304
0.034850958,-74.164,40.58304
0.037110138,-74.1549,40.58304
0.041550447,-74.1458,40.58304
0.046675552,-74.1367,40.58304
0.051724088,-74.1276,40.58304
0.053499846,-74.1185,40.58304
0.045654637,-74.1094,40.58304
0.02468147,-74.1003,40.58304
0,-74.0912,40.58304
0.006295112,-74.0821,40.58304
0.069917167,-74.073,40.58304
0.12993305,-74.0639,40.58304
0.184504021,-74.0548,40.58304
0.233163109,-74.0457,40.58304
0.27559252,-74.0366,40.58304
0.312525088,-74.0275,40.58304
0.344748553,-74.0184,40.58304
0.37401434,-74.0093,40.58304
0.402741876,-74.0002,40.58304
0.432770848,-73.9911,40.58304
0.464461238,-73.982,40.58304
0.496224721,-73.9729,40.58304
0.523546604,-73.9638,40.58304
0.5445136,-73.9547,40.58304
0.557330724,-73.9456,40.58304
0.548821968,-73.9365,40.58304
0.512220954,-73.9274,40.58304
0.469186309,-73.9183,40.58304
0.428163233,-73.9092,40.58304
0.391518499,-73.9001,40.58304
0.359983126,-73.891,40.58304
0.333722356,-73.8819,40.58304
0.312717813,-73.8728,40.58304
0.296806093,-73.8637,40.58304
